Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a0240000009qOIvAAM,0014000000f3mUkAAI,Terminated,FSC-C111414,RA-COC-006072,COC,PT Kayan Jaya Tanjung,Certificate holder,INDONESIA,/api/v1/Certification/a0240000009qOIvAAM/PrintFile?culture=en,
a0240000005sRR1AAM,0014000000Pecv1AAB,Terminated,FSC-C004490,SW-COC-002930,COC,PT Kayan Jaya Tanjung,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sRR1AAM/PrintFile?culture=en,
a023300000WSD4XAAX,0013300001fz4SrAAI,Terminated,FSC-C129637,TUVDC-COC-100896,COC,PT Kayu Asri Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a023300000WSD4XAAX/PrintFile?culture=en,
a02UV00000Hq8vmYAB,001UV00000Z4550YAB,Valid,FSC-C222266,SCS-COC-702131,COC,PT Kayu Mas Abadi,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000Hq8vmYAB/PrintFile?culture=en,
a023300000g0PKPAA2,0013300001r46npAAA,Valid,FSC-C134938,SA-COC-012837,COC,PT Kayu Mebel Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a023300000g0PKPAA2/PrintFile?culture=en,
a02Do0000010j9HIAQ,001Do00000M6Zm8IAF,Valid,FSC-C193658,PBN-FM/COC-036146,FM/COC,PT Kayu Multiguna Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a0240000005sR0mAAE,0014000000PeZ0NAAV,Valid,FSC-C002863,PBN-COC-004051,COC,PT Kayu Multiguna Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sR0mAAE/PrintFile?culture=en,
a0240000005sUB3AAM,0014000000PebfRAAR,Valid,FSC-C015032,SA-COC-012860,COC,PT Kayu Permata,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sUB3AAM/PrintFile?culture=en,
a02UV000008a9Y3YAI,001UV00000KauEfYAJ,Suspended,FSC-C212096,SCS-COC-701317,COC,PT Kayulima Utama,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000008a9Y3YAI/PrintFile?culture=en,
a02UV000005Y5YfYAK,001UV00000Eu4dbYAB,Valid,FSC-C207718,SCS-COC-700941,COC,PT Kedawung Setia Corrugated Carton Box Industrial,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000005Y5YfYAK/PrintFile?culture=en,
a024y00000m5enoAAA,0014y00002cd5LiAAI,Valid,FSC-C176072,SCS-COC-008991,COC,PT Kendi Arindo-Empat Lawang,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000m5enoAAA/PrintFile?culture=en,
a0240000005sQv6AAE,0014000000PecW9AAJ,Terminated,FSC-C002511,SW-COC-001921,COC,PT Kharisma Export,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a0240000006vJw4AAE,0014000000YalLzAAJ,Valid,FSC-C104967,PBN-COC-005407,COC,PT Kharisma Jaya Gemilang,Certificate holder,INDONESIA,/api/v1/Certification/a0240000006vJw4AAE/PrintFile?culture=en,
a02Do0000010Y1FIAU,001Do00000LGrQZIA1,Valid,FSC-C193017,CU-FM/COC-895034,FM/COC,PT Kirana Permata,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000010Y1FIAU/PrintFile?culture=en,
a02Do0000014cFLIAY,001Do00000DuPUAIA3,Valid,FSC-C189024,CU-COC-895183,COC,PT Kirana Permata,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000014cFLIAY/PrintFile?culture=en,
a02UV000002PqYXYA0,001UV000007KgyOYAS,Valid,FSC-C201970,SCS-COC-700391,COC,PT Kita Semua Cuan,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000002PqYXYA0/PrintFile?culture=en,
a0240000005sRI8AAM,0014000000PeaCsAAJ,Valid,FSC-C003939,PBN-COC-003133,COC,PT Koloni Timur dba East Colonial,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sRI8AAM/PrintFile?culture=en,
a024y00000jpMgUAAU,0014y00002HdBEtAAN,Valid,FSC-C167144,BV-COC-167144,COC,PT Korin Jaya,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000jpMgUAAU/PrintFile?culture=en,
a0240000005sRSnAAM,001f300001wWw72AAC,Terminated,FSC-C004600,TT-COC-002650,COC,PT Korindo Ariabima Sari,Expired site,INDONESIA,/api/v1/Certification/a0240000005sRSnAAM/PrintFile?culture=en,
a0240000005sRSnAAM,0014000000PebxxAAB,Terminated,FSC-C004600,TT-COC-002650,COC,PT Korindo Ariabima Sari,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sRSnAAM/PrintFile?culture=en,
a024000000F9rngAAB,0014000000pSa79AAC,Valid,FSC-C116432,SGSHK-COC-009871,COC,PT Korintiga Hutani (Mill),Certificate holder,INDONESIA,/api/v1/Certification/a024000000F9rngAAB/PrintFile?culture=en,
a0240000005syrtAAA,0014000000Rc3fhAAB,Terminated,FSC-C051110,TT-COC-003312,COC,PT Kreasi Alam Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005syrtAAA/PrintFile?culture=en,
a023300000YijqIAAR,0013300001g5fuSAAQ,Terminated,FSC-C128412,TT-COC-005799,COC,PT Kreasi Indah Cemerlang,Certificate holder,INDONESIA,/api/v1/Certification/a023300000YijqIAAR/PrintFile?culture=en,
a02f300000gKjWHAA0,001f300001trrF2AAI,Valid,FSC-C145473,SCS-COC-006581,COC,PT Kudos Istana Furniture,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000gKjWHAA0/PrintFile?culture=en,
a023300000fnzCdAAI,0013300001q9jSgAAI,Valid,FSC-C134014,SA-COC-012756,COC,PT Kurnia Anggun,Certificate holder,INDONESIA,/api/v1/Certification/a023300000fnzCdAAI/PrintFile?culture=en,
a023300000fnzCdAAI,001UV00000cxb2WYAQ,Valid,FSC-C134014,SA-COC-012756,COC,PT Kurnia Anggun,Site,INDONESIA,/api/v1/Certification/a023300000fnzCdAAI/PrintFile?culture=en,
a0240000005sTkfAAE,0014000000PebLXAAZ,Terminated,FSC-C013396,SW-COC-259,COC,PT Kurnia Jati Utama Indonesia,Site,INDONESIA,/api/v1/Certification/a0240000005sTkfAAE/PrintFile?culture=en,
a0240000005sTrBAAU,0014000000PeZXEAA3,Valid,FSC-C013800,SA-COC-012758,COC,PT Kutai Timber Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sTrBAAU/PrintFile?culture=en,FSC_Sales
a02f300000gI6nnAAC,001f300001rbUB3AAM,Valid,FSC-C136773,BV-COC-136773,COC,PT L&E INTERNATIONAL INDONESIA,Site,INDONESIA,/api/v1/Certification/a02f300000gI6nnAAC/PrintFile?culture=en,FSC_Sales
a02Do000008DDp2IAG,001Do00000S2nf7IAB,Valid,FSC-C199245,SCS-COC-700200,COC,PT LAMI PACKAGING INDONESIA,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000008DDp2IAG/PrintFile?culture=en,
a02UV00000CkKKzYAN,001UV00000ThzeBYAR,Valid,FSC-C216766,BV-COC-216766,COC,PT LAYO SENG FONG,Site,INDONESIA,/api/v1/Certification/a02UV00000CkKKzYAN/PrintFile?culture=en,
a02UV00000CkKKzYAN,001UV00000RCwTiYAL,Valid,FSC-C216766,BV-COC-216766,COC,PT LAYO SENG FONG,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000CkKKzYAN/PrintFile?culture=en,
a024y00000m3x5nAAA,001UV00000RfacfYAB,Valid,FSC-C162822,SGSHK-COC-331147,COC,PT LIANMEI INDUSTRIAL INDONESIA,Site,INDONESIA,/api/v1/Certification/a024y00000m3x5nAAA/PrintFile?culture=en,FSC_Sales
a02Do0000011PPgIAM,001Do00000MedZXIAZ,Valid,FSC-C194073,SCS-COC-010130,COC,PT Larasati Multi Sentosa,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000011PPgIAM/PrintFile?culture=en,
a023300000WkKALAA3,0013300001dFiRjAAK,Valid,FSC-C126976,SA-COC-012571,COC,PT Legenda Bintang Bola,Certificate holder,INDONESIA,/api/v1/Certification/a023300000WkKALAA3/PrintFile?culture=en,
a02UV000004JjdRYAS,001UV00000BxdodYAB,Valid,FSC-C205558,SCS-COC-700688,COC,PT Lentera Ciper Design,Certificate holder,INDONESIA,/api/v1/Certification/a02UV000004JjdRYAS/PrintFile?culture=en,
a023300000ayfI1AAI,0013300001il0Q2AAI,Valid,FSC-C130066,SCS-FM/COC-005581,FM/COC,PT Lestari Mahaputra Buana,Certificate holder,INDONESIA,/api/v1/Certification/a023300000ayfI1AAI/PrintFile?culture=en,
a0240000005sQguAAE,0014000000PeZpBAAV,Valid,FSC-C001631,SCS-COC-006159,COC,PT Lestari Mahaputra Buana,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sQguAAE/PrintFile?culture=en,
a0240000005sRSsAAM,0014000000PeaR8AAJ,Terminated,FSC-C004605,SW-COC-317,COC,PT Lestari Mahaputra Buana,Site,INDONESIA,/api/v1/Certification/a0240000005sRSsAAM/PrintFile?culture=en,
a02UV00000EO97QYAT,001UV00000TjSU8YAN,Valid,FSC-C218787,SCS-COC-701852,COC,PT Libra By Palma International,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000EO97QYAT/PrintFile?culture=en,
a02Do000006x8PtIAI,001Do00000PvznRIAR,Terminated,FSC-C195713,ESTS-COC-230693,COC,PT Lidaxin Jaya Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000006x8PtIAI/PrintFile?culture=en,
a02UV00000KBgQGYA1,001UV00000dTvXWYA0,Valid,FSC-C224343,SGSHK-COC-440134,COC,PT Lintec Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000KBgQGYA1/PrintFile?culture=en,
a02UV00000K1oLpYAJ,001UV00000dERMrYAO,Valid,FSC-C224192,SCS-COC-702280,COC,PT Lio Collection,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000K1oLpYAJ/PrintFile?culture=en,
