Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a02f300000gHfNqAAK,0014y00002dar3sAAA,Valid,FSC-C135817,PBN-FM/COC-058291,FM/COC,FMU Lestari Jati Lestari,Site,INDONESIA,/api/v1/Certification/a02f300000gHfNqAAK/PrintFile?culture=en,
a02Do0000010j9HIAQ,001UV000004qpPAYAY,Valid,FSC-C193658,PBN-FM/COC-036146,FM/COC,FMU Wana Asri,Site,INDONESIA,/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a02UV000000ySavYAE,001UV00000OztHuYAJ,Valid,FSC-C199529,PBN-FM/COC-076518,FM/COC,FMU Wana Lestari,Site,INDONESIA,/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02UV000000ySavYAE,001UV00000OztMkYAJ,Valid,FSC-C199529,PBN-FM/COC-076518,FM/COC,FMU Wana Makmur,Site,INDONESIA,/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02UV000000ySavYAE,001UV00000Ozvl8YAB,Valid,FSC-C199529,PBN-FM/COC-076518,FM/COC,FMU Wana Sejahtera,Site,INDONESIA,/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02UV000000ySavYAE,001UV00000965z7YAA,Valid,FSC-C199529,PBN-FM/COC-076518,FM/COC,FMU Wana Semeru Agung,Site,INDONESIA,/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02Do0000010j9HIAQ,001UV000004qxEbYAI,Valid,FSC-C193658,PBN-FM/COC-036146,FM/COC,FMU Wana Yasa Pacitan,Site,INDONESIA,/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a02UV00000CIilFYAT,001UV00000XmkvDYAR,Valid,FSC-C216337,PBN-FM/COC-081403,FM/COC,FMU Wono Suko,Site,INDONESIA,/api/v1/Certification/a02UV00000CIilFYAT/PrintFile?culture=en,
a02Do0000010j9HIAQ,001UV000004qx05YAA,Valid,FSC-C193658,PBN-FM/COC-036146,FM/COC,FMU Wono Wengker Lestari,Site,INDONESIA,/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y00002dyfXZAAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,GAPOKTAN KASEMBON MEMBANGUN - 9 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a02f300000gXX0CAAW,001f300001wXF9nAAG,Terminated,FSC-C149356,SCS-FM/COC-006786,FM/COC,"GAPOKTANHUT ""PUNUNG WANA LESTARI""",Certificate holder,INDONESIA,/api/v1/Certification/a02f300000gXX0CAAW/PrintFile?culture=en,
a024000000CtG9OAAV,0014000000vY4ZQAA0,Terminated,FSC-C114315,SA-FM/COC-004248,FM/COC,Galengdowo,Site,INDONESIA,/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neC6IAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,Gapoktan Among Tani 2,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neCQIAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,Gapoktan Suka Maju,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
